2019-11-15 12:41:55.758103,Temp = 21.18,Pressure = 1016.67,Altitude = -97.47,Humidity = 32.73
2019-11-15 12:43:02.898666,Temp = 21.19,Pressure = 1016.66,Altitude = -97.38,Humidity = 32.71
2019-11-15 12:44:03.009696,Temp = 21.20,Pressure = 1016.69,Altitude = -97.63,Humidity = 32.70
2019-11-15 12:45:03.114465,Temp = 21.21,Pressure = 1016.68,Altitude = -97.59,Humidity = 32.71
2019-11-15 12:46:03.272559,Temp = 21.22,Pressure = 1016.71,Altitude = -97.80,Humidity = 32.82
2019-11-15 12:49:19.022777,Temp = 20.77,Pressure = 1016.17,Altitude = -93.31,Humidity = 30.31
2019-11-15 12:50:26.183081,Temp = 20.78,Pressure = 1016.16,Altitude = -93.27,Humidity = 30.22
2019-11-15 12:51:26.320001,Temp = 20.78,Pressure = 1016.14,Altitude = -93.06,Humidity = 30.20
2019-11-15 12:52:26.415253,Temp = 20.79,Pressure = 1016.15,Altitude = -93.22,Humidity = 30.12
2019-11-15 12:53:26.550589,Temp = 20.79,Pressure = 1016.13,Altitude = -92.99,Humidity = 30.06
2019-11-15 12:55:50.497890,Temp = 18.98,Pressure = 1017.27,Altitude = -102.51,Humidity = 32.70
2019-11-15 12:56:57.666126,Temp = 18.97,Pressure = 1017.29,Altitude = -102.64,Humidity = 32.67
2019-11-15 12:57:57.776368,Temp = 18.97,Pressure = 1017.29,Altitude = -102.66,Humidity = 32.81
2019-11-15 12:58:57.887417,Temp = 18.97,Pressure = 1017.26,Altitude = -102.44,Humidity = 32.92
2019-11-15 12:59:58.047300,Temp = 18.94,Pressure = 1017.29,Altitude = -102.69,Humidity = 32.87
2019-11-15 13:02:44.361630,Temp = 15.60,Pressure = 1017.44,Altitude = -103.94,Humidity = 44.44
2019-11-15 13:03:51.534559,Temp = 15.66,Pressure = 1017.48,Altitude = -104.24,Humidity = 43.56
2019-11-15 13:04:51.739780,Temp = 15.73,Pressure = 1017.50,Altitude = -104.41,Humidity = 42.88
2019-11-15 13:05:51.881856,Temp = 15.78,Pressure = 1017.50,Altitude = -104.38,Humidity = 42.39
2019-11-15 13:06:52.001582,Temp = 15.87,Pressure = 1017.48,Altitude = -104.20,Humidity = 42.87
2019-11-15 13:07:58.754923,Temp = 15.20,Pressure = 1017.48,Altitude = -104.22,Humidity = 36.55
2019-11-15 13:09:05.890915,Temp = 14.96,Pressure = 1017.45,Altitude = -104.02,Humidity = 36.82
2019-11-15 13:10:05.970882,Temp = 14.67,Pressure = 1017.45,Altitude = -103.97,Humidity = 37.32
2019-11-15 13:11:06.113357,Temp = 14.53,Pressure = 1017.52,Altitude = -104.59,Humidity = 37.84
2019-11-15 13:12:06.283514,Temp = 14.18,Pressure = 1017.54,Altitude = -104.71,Humidity = 38.17
